클라우드 융복합 학과 교과 과정
-----------------------------------------------------------------------------
학년	학기	학수번호	이수구분	교과목명	학점	시간(이론)	시간(실습)	과목구분	비고
2	1	11479	전핵	클라우드 컴퓨팅 개론	3	3	0	이론	
2	1	11481	전핵	파이썬 프로그래밍	3	2	2	이론/실습	
2	2	11480	전핵	클라우드 핵심 서비스	3	3	0	이론	
2	2	11483	전핵	스토리지 구조	3	3	0	이론	
2	2	11484	전핵	No-SQL 구조	3	2	2	이론/실습	
3	1	11482	전핵	클라우드 네트워크	3	3	0	이론	
3	1	11486	전핵	클라우드 아키텍트 구조	3	3	0	이론	
3	2	11485	전핵	ICT와 클라우드 컴퓨팅	3	3	0	이론	
3	2	11487	전핵	클라우드 인프라 운영	3	3	0	이론	
3	2	11488	전핵	클라우드 기반 개발	3	2	2	이론/실습	
4	1	11490	전핵	클라우드 기반 데이터레이크 및 분석	3	3	0	이론	
4	1	11491	전핵	클라우드 기반 Devops 자동화	3	3	0	이론	
4	1	11489	전핵	클라우드 인프라 보안	3	3	0	이론	
